"date","hour"
"2016-07-01","0"
"2016-07-01","3"
"2016-07-01","6"
"2016-07-01","9"
"2016-07-01","12"
"2016-07-01","15"
"2016-07-01","18"
"2016-07-01","21"
"2016-07-02","0"
"2016-07-02","3"
"2016-07-02","6"
"2016-07-02","9"
"2016-07-02","12"
"2016-07-02","15"
"2016-07-02","18"
"2016-07-02","21"
"2016-07-03","0"
"2016-07-03","3"
"2016-07-03","6"
"2016-07-03","9"
"2016-07-03","12"
"2016-07-03","15"
"2016-07-03","18"
"2016-07-03","21"
"2016-07-04","0"
"2016-07-04","3"
"2016-07-04","6"
"2016-07-04","9"
"2016-07-04","12"
"2016-07-04","15"
"2016-07-04","18"
"2016-07-04","21"
"2016-07-05","0"
"2016-07-05","3"
"2016-07-05","6"
"2016-07-05","9"
"2016-07-05","12"
"2016-07-05","15"
"2016-07-05","18"
"2016-07-05","21"
"2016-07-06","0"
"2016-07-06","3"
"2016-07-06","6"
"2016-07-06","9"
"2016-07-06","12"
"2016-07-06","15"
"2016-07-06","18"
"2016-07-06","21"
"2016-07-07","0"
"2016-07-07","3"
"2016-07-07","6"
"2016-07-07","9"
"2016-07-07","12"
"2016-07-07","15"
"2016-07-07","18"
"2016-07-07","21"
"2016-07-08","0"
"2016-07-08","3"
"2016-07-08","6"
"2016-07-08","9"
"2016-07-08","12"
"2016-07-08","15"
"2016-07-08","18"
"2016-07-08","21"
"2016-07-09","0"
"2016-07-09","3"
"2016-07-09","6"
"2016-07-09","9"
"2016-07-09","12"
"2016-07-09","15"
"2016-07-09","18"
"2016-07-09","21"
"2016-07-10","0"
"2016-07-10","3"
"2016-07-10","6"
"2016-07-10","9"
"2016-07-10","12"
"2016-07-10","15"
"2016-07-10","18"
"2016-07-10","21"
"2016-07-11","0"
"2016-07-11","3"
"2016-07-11","6"
"2016-07-11","9"
"2016-07-11","12"
"2016-07-11","15"
"2016-07-11","18"
"2016-07-11","21"
"2016-07-12","0"
"2016-07-12","3"
"2016-07-12","6"
"2016-07-12","9"
"2016-07-12","12"
"2016-07-12","15"
"2016-07-12","18"
"2016-07-12","21"
"2016-07-13","0"
"2016-07-13","3"
"2016-07-13","6"
"2016-07-13","9"
"2016-07-13","12"
"2016-07-13","15"
"2016-07-13","18"
"2016-07-13","21"
"2016-07-14","0"
"2016-07-14","3"
"2016-07-14","6"
"2016-07-14","9"
"2016-07-14","12"
"2016-07-14","15"
"2016-07-14","18"
"2016-07-14","21"
"2016-07-15","0"
"2016-07-15","3"
"2016-07-15","6"
"2016-07-15","9"
"2016-07-15","12"
"2016-07-15","15"
"2016-07-15","18"
"2016-07-15","21"
"2016-07-16","0"
"2016-07-16","3"
"2016-07-16","6"
"2016-07-16","9"
"2016-07-16","12"
"2016-07-16","15"
"2016-07-16","18"
"2016-07-16","21"
"2016-07-17","0"
"2016-07-17","3"
"2016-07-17","6"
"2016-07-17","9"
"2016-07-17","12"
"2016-07-17","15"
"2016-07-17","18"
"2016-07-17","21"
"2016-07-18","0"
"2016-07-18","3"
"2016-07-18","6"
"2016-07-18","9"
"2016-07-18","12"
"2016-07-18","15"
"2016-07-18","18"
"2016-07-18","21"
"2016-07-19","0"
"2016-07-19","3"
"2016-07-19","6"
"2016-07-19","9"
"2016-07-19","12"
"2016-07-19","15"
"2016-07-19","18"
"2016-07-19","21"
"2016-07-20","0"
"2016-07-20","3"
"2016-07-20","6"
"2016-07-20","9"
"2016-07-20","12"
"2016-07-20","15"
"2016-07-20","18"
"2016-07-20","21"
"2016-07-21","0"
"2016-07-21","3"
"2016-07-21","6"
"2016-07-21","9"
"2016-07-21","12"
"2016-07-21","15"
"2016-07-21","18"
"2016-07-21","21"
"2016-07-22","0"
"2016-07-22","3"
"2016-07-22","6"
"2016-07-22","9"
"2016-07-22","12"
"2016-07-22","15"
"2016-07-22","18"
"2016-07-22","21"
"2016-07-23","0"
"2016-07-23","3"
"2016-07-23","6"
"2016-07-23","9"
"2016-07-23","12"
"2016-07-23","15"
"2016-07-23","18"
"2016-07-23","21"
"2016-07-24","0"
"2016-07-24","3"
"2016-07-24","6"
"2016-07-24","9"
"2016-07-24","12"
"2016-07-24","15"
"2016-07-24","18"
"2016-07-24","21"
"2016-07-25","0"
"2016-07-25","3"
"2016-07-25","6"
"2016-07-25","9"
"2016-07-25","12"
"2016-07-25","15"
"2016-07-25","18"
"2016-07-25","21"
"2016-07-26","0"
"2016-07-26","3"
"2016-07-26","6"
"2016-07-26","9"
"2016-07-26","12"
"2016-07-26","15"
"2016-07-26","18"
"2016-07-26","21"
"2016-07-27","0"
"2016-07-27","3"
"2016-07-27","6"
"2016-07-27","9"
"2016-07-27","12"
"2016-07-27","15"
"2016-07-27","18"
"2016-07-27","21"
"2016-07-28","0"
"2016-07-28","3"
"2016-07-28","6"
"2016-07-28","9"
"2016-07-28","12"
"2016-07-28","15"
"2016-07-28","18"
"2016-07-28","21"
"2016-07-29","0"
"2016-07-29","3"
"2016-07-29","6"
"2016-07-29","9"
"2016-07-29","12"
"2016-07-29","15"
"2016-07-29","18"
"2016-07-29","21"
"2016-07-30","0"
"2016-07-30","3"
"2016-07-30","6"
"2016-07-30","9"
"2016-07-30","12"
"2016-07-30","15"
"2016-07-30","18"
"2016-07-30","21"
"2016-07-31","0"
"2016-07-31","3"
"2016-07-31","6"
"2016-07-31","9"
"2016-07-31","12"
"2016-07-31","15"
"2016-07-31","18"
"2016-07-31","21"
"2016-08-01","0"
"2016-08-01","3"
"2016-08-01","6"
"2016-08-01","9"
"2016-08-01","12"
"2016-08-01","15"
"2016-08-01","18"
"2016-08-01","21"
"2016-08-02","0"
"2016-08-02","3"
"2016-08-02","6"
"2016-08-02","9"
"2016-08-02","12"
"2016-08-02","15"
"2016-08-02","18"
"2016-08-02","21"
"2016-08-03","0"
"2016-08-03","3"
"2016-08-03","6"
"2016-08-03","9"
"2016-08-03","12"
"2016-08-03","15"
"2016-08-03","18"
"2016-08-03","21"
"2016-08-04","0"
"2016-08-04","3"
"2016-08-04","6"
"2016-08-04","9"
"2016-08-04","12"
"2016-08-04","15"
"2016-08-04","18"
"2016-08-04","21"
"2016-08-05","0"
"2016-08-05","3"
"2016-08-05","6"
"2016-08-05","9"
"2016-08-05","12"
"2016-08-05","15"
"2016-08-05","18"
"2016-08-05","21"
"2016-08-06","0"
"2016-08-06","3"
"2016-08-06","6"
"2016-08-06","9"
"2016-08-06","12"
"2016-08-06","15"
"2016-08-06","18"
"2016-08-06","21"
"2016-08-07","0"
"2016-08-07","3"
"2016-08-07","6"
"2016-08-07","9"
"2016-08-07","12"
"2016-08-07","15"
"2016-08-07","18"
"2016-08-07","21"
"2016-08-08","0"
"2016-08-08","3"
"2016-08-08","6"
"2016-08-08","9"
"2016-08-08","12"
"2016-08-08","15"
"2016-08-08","18"
"2016-08-08","21"
"2016-08-09","0"
"2016-08-09","3"
"2016-08-09","6"
"2016-08-09","9"
"2016-08-09","12"
"2016-08-09","15"
"2016-08-09","18"
"2016-08-09","21"
"2016-08-10","0"
"2016-08-10","3"
"2016-08-10","6"
"2016-08-10","9"
"2016-08-10","12"
"2016-08-10","15"
"2016-08-10","18"
"2016-08-10","21"
"2016-08-11","0"
"2016-08-11","3"
"2016-08-11","6"
"2016-08-11","9"
"2016-08-11","12"
"2016-08-11","15"
"2016-08-11","18"
"2016-08-11","21"
"2016-08-12","0"
"2016-08-12","3"
"2016-08-12","6"
"2016-08-12","9"
"2016-08-12","12"
"2016-08-12","15"
"2016-08-12","18"
"2016-08-12","21"
"2016-08-13","0"
"2016-08-13","3"
"2016-08-13","6"
"2016-08-13","9"
"2016-08-13","12"
"2016-08-13","15"
"2016-08-13","18"
"2016-08-13","21"
"2016-08-14","0"
"2016-08-14","3"
"2016-08-14","6"
"2016-08-14","9"
"2016-08-14","12"
"2016-08-14","15"
"2016-08-14","18"
"2016-08-14","21"
"2016-08-15","0"
"2016-08-15","3"
"2016-08-15","6"
"2016-08-15","9"
"2016-08-15","12"
"2016-08-15","15"
"2016-08-15","18"
"2016-08-15","21"
"2016-08-16","0"
"2016-08-16","3"
"2016-08-16","6"
"2016-08-16","9"
"2016-08-16","12"
"2016-08-16","15"
"2016-08-16","18"
"2016-08-16","21"
"2016-08-17","0"
"2016-08-17","3"
"2016-08-17","6"
"2016-08-17","9"
"2016-08-17","12"
"2016-08-17","15"
"2016-08-17","18"
"2016-08-17","21"
"2016-08-18","0"
"2016-08-18","3"
"2016-08-18","6"
"2016-08-18","9"
"2016-08-18","12"
"2016-08-18","15"
"2016-08-18","18"
"2016-08-18","21"
"2016-08-19","0"
"2016-08-19","3"
"2016-08-19","6"
"2016-08-19","9"
"2016-08-19","12"
"2016-08-19","15"
"2016-08-19","18"
"2016-08-19","21"
"2016-08-20","0"
"2016-08-20","3"
"2016-08-20","6"
"2016-08-20","9"
"2016-08-20","12"
"2016-08-20","15"
"2016-08-20","18"
"2016-08-20","21"
"2016-08-21","0"
"2016-08-21","3"
"2016-08-21","6"
"2016-08-21","9"
"2016-08-21","12"
"2016-08-21","15"
"2016-08-21","18"
"2016-08-21","21"
"2016-08-22","0"
"2016-08-22","3"
"2016-08-22","6"
"2016-08-22","9"
"2016-08-22","12"
"2016-08-22","15"
"2016-08-22","18"
"2016-08-22","21"
"2016-08-23","0"
"2016-08-23","3"
"2016-08-23","6"
"2016-08-23","9"
"2016-08-23","12"
"2016-08-23","15"
"2016-08-23","18"
"2016-08-23","21"
"2016-08-24","0"
"2016-08-24","3"
"2016-08-24","6"
"2016-08-24","9"
"2016-08-24","12"
"2016-08-24","15"
"2016-08-24","18"
"2016-08-24","21"
"2016-08-25","0"
"2016-08-25","3"
"2016-08-25","6"
"2016-08-25","9"
"2016-08-25","12"
"2016-08-25","15"
"2016-08-25","18"
"2016-08-25","21"
"2016-08-26","0"
"2016-08-26","3"
"2016-08-26","6"
"2016-08-26","9"
"2016-08-26","12"
"2016-08-26","15"
"2016-08-26","18"
"2016-08-26","21"
"2016-08-27","0"
"2016-08-27","3"
"2016-08-27","6"
"2016-08-27","9"
"2016-08-27","12"
"2016-08-27","15"
"2016-08-27","18"
"2016-08-27","21"
"2016-08-28","0"
"2016-08-28","3"
"2016-08-28","6"
"2016-08-28","9"
"2016-08-28","12"
"2016-08-28","15"
"2016-08-28","18"
"2016-08-28","21"
"2016-08-29","0"
"2016-08-29","3"
"2016-08-29","6"
"2016-08-29","9"
"2016-08-29","12"
"2016-08-29","15"
"2016-08-29","18"
"2016-08-29","21"
"2016-08-30","0"
"2016-08-30","3"
"2016-08-30","6"
"2016-08-30","9"
"2016-08-30","12"
"2016-08-30","15"
"2016-08-30","18"
"2016-08-30","21"
"2016-08-31","0"
"2016-08-31","3"
"2016-08-31","6"
"2016-08-31","9"
"2016-08-31","12"
"2016-08-31","15"
"2016-08-31","18"
"2016-08-31","21"
"2016-09-01","0"
"2016-09-01","3"
"2016-09-01","6"
"2016-09-01","9"
"2016-09-01","12"
"2016-09-01","15"
"2016-09-01","18"
"2016-09-01","21"
"2016-09-02","0"
"2016-09-02","3"
"2016-09-02","6"
"2016-09-02","9"
"2016-09-02","12"
"2016-09-02","15"
"2016-09-02","18"
"2016-09-02","21"
"2016-09-03","0"
"2016-09-03","3"
"2016-09-03","6"
"2016-09-03","9"
"2016-09-03","12"
"2016-09-03","15"
"2016-09-03","18"
"2016-09-03","21"
"2016-09-04","0"
"2016-09-04","3"
"2016-09-04","6"
"2016-09-04","9"
"2016-09-04","12"
"2016-09-04","15"
"2016-09-04","18"
"2016-09-04","21"
"2016-09-05","0"
"2016-09-05","3"
"2016-09-05","6"
"2016-09-05","9"
"2016-09-05","12"
"2016-09-05","15"
"2016-09-05","18"
"2016-09-05","21"
"2016-09-06","0"
"2016-09-06","3"
"2016-09-06","6"
"2016-09-06","9"
"2016-09-06","12"
"2016-09-06","15"
"2016-09-06","18"
"2016-09-06","21"
"2016-09-07","0"
"2016-09-07","3"
"2016-09-07","6"
"2016-09-07","9"
"2016-09-07","12"
"2016-09-07","15"
"2016-09-07","18"
"2016-09-07","21"
"2016-09-08","0"
"2016-09-08","3"
"2016-09-08","6"
"2016-09-08","9"
"2016-09-08","12"
"2016-09-08","15"
"2016-09-08","18"
"2016-09-08","21"
"2016-09-09","0"
"2016-09-09","3"
"2016-09-09","6"
"2016-09-09","9"
"2016-09-09","12"
"2016-09-09","15"
"2016-09-09","18"
"2016-09-09","21"
"2016-09-10","0"
"2016-09-10","3"
"2016-09-10","6"
"2016-09-10","9"
"2016-09-10","12"
"2016-09-10","15"
"2016-09-10","18"
"2016-09-10","21"
"2016-09-11","0"
"2016-09-11","3"
"2016-09-11","6"
"2016-09-11","9"
"2016-09-11","12"
"2016-09-11","15"
"2016-09-11","18"
"2016-09-11","21"
"2016-09-12","0"
"2016-09-12","3"
"2016-09-12","6"
"2016-09-12","9"
"2016-09-12","12"
"2016-09-12","15"
"2016-09-12","18"
"2016-09-12","21"
"2016-09-13","0"
"2016-09-13","3"
"2016-09-13","6"
"2016-09-13","9"
"2016-09-13","12"
"2016-09-13","15"
"2016-09-13","18"
"2016-09-13","21"
"2016-09-14","0"
"2016-09-14","3"
"2016-09-14","6"
"2016-09-14","9"
"2016-09-14","12"
"2016-09-14","15"
"2016-09-14","18"
"2016-09-14","21"
"2016-09-15","0"
"2016-09-15","3"
"2016-09-15","6"
"2016-09-15","9"
"2016-09-15","12"
"2016-09-15","15"
"2016-09-15","18"
"2016-09-15","21"
"2016-09-16","0"
"2016-09-16","3"
"2016-09-16","6"
"2016-09-16","9"
"2016-09-16","12"
"2016-09-16","15"
"2016-09-16","18"
"2016-09-16","21"
"2016-09-17","0"
"2016-09-17","3"
"2016-09-17","6"
"2016-09-17","9"
"2016-09-17","12"
"2016-09-17","15"
"2016-09-17","18"
"2016-09-17","21"
"2016-09-18","0"
"2016-09-18","3"
"2016-09-18","6"
"2016-09-18","9"
"2016-09-18","12"
"2016-09-18","15"
"2016-09-18","18"
"2016-09-18","21"
"2016-09-19","0"
"2016-09-19","3"
"2016-09-19","6"
"2016-09-19","9"
"2016-09-19","12"
"2016-09-19","15"
"2016-09-19","18"
"2016-09-19","21"
"2016-09-20","0"
"2016-09-20","3"
"2016-09-20","6"
"2016-09-20","9"
"2016-09-20","12"
"2016-09-20","15"
"2016-09-20","18"
"2016-09-20","21"
"2016-09-21","0"
"2016-09-21","3"
"2016-09-21","6"
"2016-09-21","9"
"2016-09-21","12"
"2016-09-21","15"
"2016-09-21","18"
"2016-09-21","21"
"2016-09-22","0"
"2016-09-22","3"
"2016-09-22","6"
"2016-09-22","9"
"2016-09-22","12"
"2016-09-22","15"
"2016-09-22","18"
"2016-09-22","21"
"2016-09-23","0"
"2016-09-23","3"
"2016-09-23","6"
"2016-09-23","9"
"2016-09-23","12"
"2016-09-23","15"
"2016-09-23","18"
"2016-09-23","21"
"2016-09-24","0"
"2016-09-24","3"
"2016-09-24","6"
"2016-09-24","9"
"2016-09-24","12"
"2016-09-24","15"
"2016-09-24","18"
"2016-09-24","21"
"2016-09-25","0"
"2016-09-25","3"
"2016-09-25","6"
"2016-09-25","9"
"2016-09-25","12"
"2016-09-25","15"
"2016-09-25","18"
"2016-09-25","21"
"2016-09-26","0"
"2016-09-26","3"
"2016-09-26","6"
"2016-09-26","9"
"2016-09-26","12"
"2016-09-26","15"
"2016-09-26","18"
"2016-09-26","21"
"2016-09-27","0"
"2016-09-27","3"
"2016-09-27","6"
"2016-09-27","9"
"2016-09-27","12"
"2016-09-27","15"
"2016-09-27","18"
"2016-09-27","21"
"2016-09-28","0"
"2016-09-28","3"
"2016-09-28","6"
"2016-09-28","9"
"2016-09-28","12"
"2016-09-28","15"
"2016-09-28","18"
"2016-09-28","21"
"2016-09-29","0"
"2016-09-29","3"
"2016-09-29","6"
"2016-09-29","9"
"2016-09-29","12"
"2016-09-29","15"
"2016-09-29","18"
"2016-09-29","21"
"2016-09-30","0"
"2016-09-30","3"
"2016-09-30","6"
"2016-09-30","9"
"2016-09-30","12"
"2016-09-30","15"
"2016-09-30","18"
"2016-09-30","21"
"2016-10-01","0"
"2016-10-01","3"
"2016-10-01","6"
"2016-10-01","9"
"2016-10-01","12"
"2016-10-01","15"
"2016-10-01","18"
"2016-10-01","21"
"2016-10-02","0"
"2016-10-02","3"
"2016-10-02","6"
"2016-10-02","9"
"2016-10-02","12"
"2016-10-02","15"
"2016-10-02","18"
"2016-10-02","21"
"2016-10-03","0"
"2016-10-03","3"
"2016-10-03","6"
"2016-10-03","9"
"2016-10-03","12"
"2016-10-03","15"
"2016-10-03","18"
"2016-10-03","21"
"2016-10-04","0"
"2016-10-04","3"
"2016-10-04","6"
"2016-10-04","9"
"2016-10-04","12"
"2016-10-04","15"
"2016-10-04","18"
"2016-10-04","21"
"2016-10-05","0"
"2016-10-05","3"
"2016-10-05","6"
"2016-10-05","9"
"2016-10-05","12"
"2016-10-05","15"
"2016-10-05","18"
"2016-10-05","21"
"2016-10-06","0"
"2016-10-06","3"
"2016-10-06","6"
"2016-10-06","9"
"2016-10-06","12"
"2016-10-06","15"
"2016-10-06","18"
"2016-10-06","21"
"2016-10-07","0"
"2016-10-07","3"
"2016-10-07","6"
"2016-10-07","9"
"2016-10-07","12"
"2016-10-07","15"
"2016-10-07","18"
"2016-10-07","21"
"2016-10-08","0"
"2016-10-08","3"
"2016-10-08","6"
"2016-10-08","9"
"2016-10-08","12"
"2016-10-08","15"
"2016-10-08","18"
"2016-10-08","21"
"2016-10-09","0"
"2016-10-09","3"
"2016-10-09","6"
"2016-10-09","9"
"2016-10-09","12"
"2016-10-09","15"
"2016-10-09","18"
"2016-10-09","21"
"2016-10-10","0"
"2016-10-10","3"
"2016-10-10","6"
"2016-10-10","9"
"2016-10-10","12"
"2016-10-10","15"
"2016-10-10","18"
"2016-10-10","21"
"2016-10-11","0"
"2016-10-11","3"
"2016-10-11","6"
"2016-10-11","9"
"2016-10-11","12"
"2016-10-11","15"
"2016-10-11","18"
"2016-10-11","21"
"2016-10-12","0"
"2016-10-12","3"
"2016-10-12","6"
"2016-10-12","9"
"2016-10-12","12"
"2016-10-12","15"
"2016-10-12","18"
"2016-10-12","21"
"2016-10-13","0"
"2016-10-13","3"
"2016-10-13","6"
"2016-10-13","9"
"2016-10-13","12"
"2016-10-13","15"
"2016-10-13","18"
"2016-10-13","21"
"2016-10-14","0"
"2016-10-14","3"
"2016-10-14","6"
"2016-10-14","9"
"2016-10-14","12"
"2016-10-14","15"
"2016-10-14","18"
"2016-10-14","21"
"2016-10-15","0"
"2016-10-15","3"
"2016-10-15","6"
"2016-10-15","9"
"2016-10-15","12"
"2016-10-15","15"
"2016-10-15","18"
"2016-10-15","21"
"2016-10-16","0"
"2016-10-16","3"
"2016-10-16","6"
"2016-10-16","9"
"2016-10-16","12"
"2016-10-16","15"
"2016-10-16","18"
"2016-10-16","21"
"2016-10-17","0"
"2016-10-17","3"
"2016-10-17","6"
"2016-10-17","9"
"2016-10-17","12"
"2016-10-17","15"
"2016-10-17","18"
"2016-10-17","21"
"2016-10-18","0"
"2016-10-18","3"
"2016-10-18","6"
"2016-10-18","9"
"2016-10-18","12"
"2016-10-18","15"
"2016-10-18","18"
"2016-10-18","21"
"2016-10-19","0"
"2016-10-19","3"
"2016-10-19","6"
"2016-10-19","9"
"2016-10-19","12"
"2016-10-19","15"
"2016-10-19","18"
"2016-10-19","21"
"2016-10-20","0"
"2016-10-20","3"
"2016-10-20","6"
"2016-10-20","9"
"2016-10-20","12"
"2016-10-20","15"
"2016-10-20","18"
"2016-10-20","21"
"2016-10-21","0"
"2016-10-21","3"
"2016-10-21","6"
"2016-10-21","9"
"2016-10-21","12"
"2016-10-21","15"
"2016-10-21","18"
"2016-10-21","21"
"2016-10-22","0"
"2016-10-22","3"
"2016-10-22","6"
"2016-10-22","9"
"2016-10-22","12"
"2016-10-22","15"
"2016-10-22","18"
"2016-10-22","21"
"2016-10-23","0"
"2016-10-23","3"
"2016-10-23","6"
"2016-10-23","9"
"2016-10-23","12"
"2016-10-23","15"
"2016-10-23","18"
"2016-10-23","21"
"2016-10-24","0"
"2016-10-24","3"
"2016-10-24","6"
"2016-10-24","9"
"2016-10-24","12"
"2016-10-24","15"
"2016-10-24","18"
"2016-10-24","21"
